,Precision   , Recall , F1-score,Support,,,,,
Class 0,0.89,0.9,0.89,1009,,,,,
Class 1,0.93,0.8,0.86,1150,,,,,
Class 2,0.79,0.75,0.77,963,,,,,
Class 3,0.69,0.77,0.73,1021,,,,,
Class 4,0.72,0.8,0.76,960,,,,,
Class 5,0.73,0.59,0.65,917,,,,,
Class 6,0.85,0.84,0.85,974,,,,,
Class 7,0.74,0.87,0.8,1074,,,,,
Class 8,0.66,0.73,0.69,965,,,,,
Class 9,0.71,0.63,0.67,994,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
0.71,0.76,0.87,0.93,0.83,0.83,0.86,0.86,0.93,0.89
0.75,0.79,0.85,0.82,0.87,0.78,0.76,0.81,0.7,0.93
0.59,0.78,0.69,0.7,0.59,0.73,0.88,0.67,0.76,0.79
0.63,0.79,0.63,0.72,0.6,0.65,0.68,0.65,0.69,0.69
0.59,0.73,0.75,0.82,0.66,0.79,0.65,0.66,0.7,0.72
0.66,0.51,0.58,0.47,0.56,0.7,0.63,0.52,0.48,0.73
0.8,0.8,0.74,0.86,0.82,0.74,0.83,0.91,0.82,0.85
0.72,0.77,0.84,0.68,0.75,0.76,0.74,0.91,0.81,0.74
0.69,0.61,0.58,0.72,0.7,0.59,0.64,0.68,0.76,0.66
0.37,0.54,0.5,0.56,0.59,0.59,0.53,0.51,0.75,0.71
